Year	Lignite	Hard coal	Gas	Oil	Uranium	Biomass
2014	1,009	1,916	6,51	8,786	0,639	4,12
2015	1,009	1,938	6,45	8,794	0,639	4,12
2016	1,009	1,961	6,39	8,802	0,639	4,12
2017	1,009	1,984	6,33	8,811	0,639	4,12
2018	1,009	2,006	6,271	8,819	0,639	4,12
2019	1,009	2,029	6,211	8,827	0,639	4,12
2020	1,009	2,05	6,194	8,918	0,639	4,12
2021	1,009	2,07	6,178	9,008	0,639	4,12
2022	1,009	2,091	6,161	9,099	0,639	4,12
2023	1,009	2,111	6,145	9,19	0,639	4,12
2024	1,009	2,132	6,129	9,28	0,639	4,12
2025	1,009	2,147	6,267	9,462	0,639	4,12
2026	1,009	2,161	6,405	9,643	0,639	4,12
2027	1,009	2,175	6,543	9,824	0,639	4,12
2028	1,009	2,19	6,681	10,005	0,639	4,12
2029	1,009	2,204	6,819	10,187	0,639	4,12
2030	1,009	2,215	6,821	10,275	0,639	4,12
2031	1,009	2,225	6,823	10,364	0,639	4,12
2032	1,009	2,235	6,825	10,452	0,639	4,12
2033	1,009	2,245	6,827	10,541	0,639	4,12
2034	1,009	2,256	6,829	10,63	0,639	4,12
