Year	G coal 1L	G coal 1M	G coal 1S	G coal 2L	G coal 2M	G coal 2S	G gas L	G gas M	G gas S	G nuclear L	G nuclear S	G oil	G bio	S nuclear	S coal	S oil	S bio	N gas
2015	3	5	12	5	10	8	14	16	48	8	15	10	5	10	2	8	5	3
2016	3	5	12	5	10	8	14	16	48	8	15	8	5	10	2	7	5	3
2017	3	5	11	5	9	8	13	16	48	8	14	6	5	10	2	7	5	3
2018	3	5	11	5	9	7	13	16	45	7	13	6	5	9	2	6	5	3
2019	3	5	11	5	9	7	13	16	45	7	13	4	5	9	2	6	5	3
2020	3	5	11	4	8	7	13	16	45	5	12	4	5	9	2	5	5	3
2021	3	5	11	4	8	7	13	16	40	5	12	2	5	9	2	5	5	3
2022	3	5	11	4	8	7	12	16	40	5	10	2	5	9	2	4	5	3
2023	3	5	11	4	8	7	12	16	40	5	9	1	5	9	2	4	5	3
2024	3	4	11	4	6	7	12	15	40	6	8	1	5	9	2	4	5	3
2025	2	4	11	4	6	7	12	15	40	4	6	1	5	9	1	4	5	3
2026	2	4	11	4	6	6	12	15	35	4	6	1	5	9	1	4	5	3
2027	2	4	11	3	5	6	11	15	35	3	5	1	5	9	1	4	5	3
2028	2	3	10	3	5	6	11	15	35	3	5	1	5	8	1	4	5	3
2029	1	3	10	3	5	6	11	15	35	2	4	1	5	8	1	4	5	3
2030	1	3	10	3	5	5	11	15	30	2	4	1	5	8	1	4	5	3
2031	1	3	8	3	5	5	10	15	30	2	4	1	5	7	1	4	5	3
2032	1	2	8	3	5	5	10	15	30	1	2	1	5	7	1	4	5	3
2033	1	2	8	3	5	5	10	15	20	1	2	1	5	7	1	4	5	3
2034	1	2	8	3	5	5	10	15	20	0	0	1	5	7	1	4	5	3
