Pattern	N reservoir	S reservoir
M01,D01-07	3173,09	1498,29
M01,D08-14	4327,85	964,06
M01,D15-21	8792,14	1224,45
M01,D22-28	3595,71	1226,25
M01,D29-31;M02,D01-04	1119,52	1038,01
M02,D05-11	2549,61	939,65
M02,D12-18	2198,41	892,24
M02,D19-25	2144,84	1141,39
M02,D26-28;M03,D01-04	2537,70	1026,57
M03,D05-11	1959,39	244,05
M03,D12-18	1995,11	146,83
M03,D19-25	2376,06	169,47
M03,D26-31;M04,D01	1941,54	240,19
M04,D02-08	3554,48	1492,58
M04,D09-15	8822,34	1223,39
M04,D16-22	16374,85	578,79
M04,D23-29	16552,82	879,06
M04,D30;M05,D01-06	36198,67	1010,91
M05,D07-13	20784,97	4586,62
M05,D14-20	14952,83	4755,95
M05,D21-27	25282,29	4506,64
M05,D28-31;M06,D01-03	31751,04	5400,54
M06,D04-10	21840,71	4205,26
M06,D11-27	15433,56	4262,80
M06,D18-24	20574,34	4695,20
M06,D25-30;M07,D01	23196,06	3842,95
M07,D02-08	28288,98	2682,01
M07,D09-15	24654,16	2535,01
M07,D16-22	21135,70	2737,41
M07,D23-29	24989,57	3066,42
M07,D30-31;M08,D01-05	21910,32	3025,84
M08,D06-12	15129,49	2946,90
M08,D13-19	12054,49	2653,61
M08,D20-26	18116,99	3087,23
M08,D27-31;M09,D01-02	15291,99	2836,35
M09,D03-09	24809,18	2127,20
M09,D10-16	21121,68	2864,45
M09,D17-23	11190,43	2326,02
M09,D24-30	21952,93	2660,44
M10,D01-07	13341,25	4004,45
M10,D08-14	7503,75	3937,92
M10,D15-21	3347,51	4125,12
M10,D22-28	2547,50	3707,11
M10,D29-31;M11,D01-04	967,86	4209,85
M11,D05-11	3801,06	1895,72
M11,D12-18	2247,49	1885,69
M11,D19-25	4000,00	1783,86
M11,D26-30;M12,D01-02	5200,00	1884,26
M12,D03-09	3839,37	1901,65
M12,D10-16	3565,57	1758,89
M12,D17-23	1726,28	1595,00
M12,D24-31	952,47	1815,77
