Pattern	N reservoir	S reservoir
M01,D01-07	3807,71	1797,95
M01,D08-14	5193,42	1156,87
M01,D15-21	10550,57	1469,34
M01,D22-28	4314,85	1471,50
M01,D29-31;M02,D01-04	1343,42	1245,61
M02,D05-11	3059,53	1127,58
M02,D12-18	2638,09	1070,69
M02,D19-25	2573,81	1369,67
M02,D26-28;M03,D01-04	3045,24	1231,88
M03,D05-11	2351,27	292,86
M03,D12-18	2394,13	176,20
M03,D19-25	2851,27	203,36
M03,D26-31;M04,D01	2329,85	288,23
M04,D02-08	4265,38	1791,10
M04,D09-15	10586,81	1468,07
M04,D16-22	17086,80	694,55
M04,D23-29	17272,51	1054,87
M04,D30;M05,D01-06	37772,52	1213,09
M05,D07-13	21688,67	5503,94
M05,D14-20	15602,95	5707,14
M05,D21-27	26381,52	5407,97
M05,D28-31;M06,D01-03	33131,52	6480,65
M06,D04-10	22790,30	5046,31
M06,D11-27	16104,59	5115,36
M06,D18-24	21468,88	5634,24
M06,D25-30;M07,D01	24204,59	4611,54
M07,D02-08	29518,93	3218,41
M07,D09-15	25726,08	3042,01
M07,D16-22	22054,64	3284,89
M07,D23-29	26076,07	3679,70
M07,D30-31;M08,D01-05	25040,36	3631,01
M08,D06-12	17290,85	3536,28
M08,D13-19	13776,56	3184,33
M08,D20-26	20705,14	3704,68
M08,D27-31;M09,D01-02	17476,56	3403,62
M09,D03-09	28353,35	2552,64
M09,D10-16	24139,07	3437,34
M09,D17-23	12789,06	2791,22
M09,D24-30	25089,06	3192,53
M10,D01-07	15247,14	4805,34
M10,D08-14	8575,72	4725,50
M10,D15-21	3825,72	4950,14
M10,D22-28	2911,43	4448,53
M10,D29-31;M11,D01-04	1161,43	5051,82
M11,D05-11	4561,27	2274,86
M11,D12-18	2696,99	2262,83
M11,D19-25	16496,99	2140,63
M11,D26-30;M12,D01-02	12611,27	2261,11
M12,D03-09	4607,24	2281,98
M12,D10-16	4278,68	2110,67
M12,D17-23	2071,54	1914,00
M12,D24-31	1142,96	2178,92
