Pattern	N reservoir	S reservoir
M01,D01-07	2538,472	1198,632
M01,D08-14	3462,28	771,248
M01,D15-21	7033,712	979,56
M01,D22-28	2876,568	981
M01,D29-31;M02,D01-04	895,616	830,408
M02,D05-11	2039,688	751,72
M02,D12-18	1758,728	713,792
M02,D19-25	1715,872	913,112
M02,D26-28;M03,D01-04	2030,16	821,256
M03,D05-11	1567,512	195,24
M03,D12-18	1596,088	117,464
M03,D19-25	1900,848	135,576
M03,D26-31;M04,D01	1553,232	192,152
M04,D02-08	2843,584	1194,064
M04,D09-15	7057,872	978,712
M04,D16-22	11391,2	463,032
M04,D23-29	11515,008	703,248
M04,D30;M05,D01-06	25181,68	808,728
M05,D07-13	14459,112	3669,296
M05,D14-20	10401,968	3804,76
M05,D21-27	17587,68	3605,312
M05,D28-31;M06,D01-03	22087,68	4320,432
M06,D04-10	15193,536	3364,208
M06,D11-27	10736,392	3410,24
M06,D18-24	14312,584	3756,16
M06,D25-30;M07,D01	16136,392	3074,36
M07,D02-08	19679,288	2145,608
M07,D09-15	17150,72	2028,008
M07,D16-22	14703,096	2189,928
M07,D23-29	17384,048	2453,136
M07,D30-31;M08,D01-05	16693,576	2420,672
M08,D06-12	11527,232	2357,52
M08,D13-19	9184,376	2122,888
M08,D20-26	13803,424	2469,784
M08,D27-31;M09,D01-02	11651,04	2269,08
M09,D03-09	18902,232	1701,76
M09,D10-16	16092,712	2291,56
M09,D17-23	8526,04	1860,816
M09,D24-30	16726,04	2128,352
M10,D01-07	10164,76	3203,56
M10,D08-14	5717,144	3150,336
M10,D15-21	2550,48	3300,096
M10,D22-28	1940,952	2965,688
M10,D29-31;M11,D01-04	774,288	3367,88
M11,D05-11	3040,848	1516,576
M11,D12-18	1797,992	1508,552
M11,D19-25	10997,992	1427,088
M11,D26-30;M12,D01-02	8407,512	1507,408
M12,D03-09	3071,496	1521,32
M12,D10-16	2852,456	1407,112
M12,D17-23	1381,024	1276
M12,D24-31	761,976	1452,616
