Pattern	N small hydro	S small hydro	N small hydro new
M01,D01-07	22,61	29,97	22,61
M01,D08-14	19,48	19,28	19,48
M01,D15-21	21,28	24,49	21,28
M01,D22-28	23	24,52	23
M01,D29-31;M02,D01-04	15,83	20,76	15,83
M02,D05-11	8,13	18,79	8,13
M02,D12-18	4,71	17,84	4,71
M02,D19-25	6,37	22,83	6,37
M02,D26-28;M03,D01-04	10,64	20,53	10,64
M03,D05-11	12,23	4,88	12,23
M03,D12-18	7,53	2,94	7,53
M03,D19-25	7,53	3,39	7,53
M03,D26-31;M04,D01	7,06	4,8	7,06
M04,D02-08	16,32	29,85	16,32
M04,D09-15	20,15	24,47	20,15
M04,D16-22	21,7	11,58	21,7
M04,D23-29	18,83	17,58	18,83
M04,D30;M05,D01-06	19,29	20,22	19,29
M05,D07-13	97,32	91,73	97,32
M05,D14-20	82,57	95,12	82,57
M05,D21-27	88,3	90,13	88,3
M05,D28-31;M06,D01-03	77,12	98,15	77,12
M06,D04-10	92,24	84,11	92,24
M06,D11-27	92,83	85,26	92,83
M06,D18-24	94,47	93,9	94,47
M06,D25-30;M07,D01	93,83	76,86	93,83
M07,D02-08	69,39	53,64	69,39
M07,D09-15	63,5	50,7	63,5
M07,D16-22	70,37	54,75	70,37
M07,D23-29	75,85	61,33	75,85
M07,D30-31;M08,D01-05	76,63	60,52	76,63
M08,D06-12	72,53	58,94	72,53
M08,D13-19	72,21	53,07	72,21
M08,D20-26	77,53	61,74	77,53
M08,D27-31;M09,D01-02	67,8	56,73	67,8
M09,D03-09	38,77	42,54	38,77
M09,D10-16	21,67	57,29	21,67
M09,D17-23	36	46,52	36
M09,D24-30	37,48	53,21	37,48
M10,D01-07	75,02	80,09	75,02
M10,D08-14	71,53	78,76	71,53
M10,D15-21	70,5	82,5	70,5
M10,D22-28	76,07	74,14	76,07
M10,D29-31;M11,D01-04	65,14	84,2	65,14
M11,D05-11	69,57	37,91	69,57
M11,D12-18	59,09	37,71	59,09
M11,D19-25	59,92	35,68	59,92
M11,D26-30;M12,D01-02	62,73	37,69	62,73
M12,D03-09	37,63	38,03	37,63
M12,D10-16	23,68	35,18	23,68
M12,D17-23	26,25	31,9	26,25
M12,D24-31	34,57	36,32	34,57
