Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2015	1	1	61835	60752	59951	59043	58653	57853	56524	57300	58615	60135	61302	62892	63380	62552	62001	61912	63512	65552	65894	65534	64716	64236	64835	63445
2015	1	2	61805	60628	60008	59706	59937	60424	62403	65413	66042	66056	66193	66247	66262	66229	66204	66164	66226	66796	66758	66593	66185	66071	66090	65944
2015	1	3	65322	64294	63397	62896	63086	63926	65800	66196	66598	66759	66887	67190	67277	67115	66826	66714	66871	68151	68560	67952	66756	66262	66216	65991
2015	1	4	65510	64637	63736	63246	63314	63875	65533	66084	66262	66445	66590	66771	66767	66638	66523	66419	66567	67288	67859	67250	66551	66228	66198	66007
2015	1	5	65536	64570	63719	63269	63607	64865	66049	66674	67347	67411	67651	67948	67925	67600	67216	67097	67182	68895	69449	68782	67216	66632	66295	66070
2015	1	6	65906	65245	64504	63860	64127	65082	65989	66629	67218	67411	67723	68016	68036	67411	66985	66762	66953	68626	68924	67924	66659	66256	66259	66051
2015	1	7	66026	65639	65175	64654	64402	64159	63792	64971	65961	66048	66218	66300	66399	66247	66119	66065	66152	66525	66641	66410	66065	66051	66058	66017
2015	1	8	65333	64180	63332	62347	61742	60977	59887	60283	61503	63410	64600	65652	65703	64982	64326	64121	64700	66055	66065	66048	66058	65899	66024	65502
2015	1	9	64473	63274	62671	62354	62681	64110	66010	66588	67094	67474	67917	68517	68595	68285	67807	67460	67443	68850	69583	69034	67444	66642	66465	66075
2015	1	10	66017	65492	64968	64705	64888	65613	66213	67837	69028	69030	69232	69366	69549	69168	68622	68358	68537	70737	71700	70840	68533	67209	66654	66189
2015	1	11	66049	66016	65643	65384	65533	66011	66307	68564	70089	70035	70444	70778	70483	70368	69782	69485	69469	71699	72487	71358	68531	67044	66649	66204
2015	1	12	66010	65535	64959	64700	64791	65573	66127	67225	68245	68320	68644	69090	69079	68717	68129	67810	67639	69266	69971	69064	67211	66530	66236	66045
2015	1	13	65749	64983	64417	64146	64416	65388	66078	66954	68003	68154	68644	69078	68765	68191	67419	67084	67035	68188	68600	67779	66601	66201	66176	65989
2015	1	14	65484	64531	63681	63093	62817	62265	61953	63822	65500	65993	66039	66127	66088	66060	66007	66050	65982	66197	66436	66260	66044	66037	66065	65644
2015	1	15	64699	63265	62005	61503	61142	60336	59148	59391	60756	62738	64297	65499	65475	64662	63761	63385	63612	65587	66000	66054	65690	65339	65501	64192
2015	1	16	62495	61368	60848	60815	61369	63040	65838	66265	66741	66931	67096	67657	67514	67360	66954	66768	66720	67744	68360	67828	66643	66246	66114	65868
2015	1	17	64475	63407	62984	62987	63634	64910	66042	66856	67926	67925	68175	68455	68189	67886	67379	67217	67125	68389	69111	68562	66862	66374	66184	66021
2015	1	18	64979	64107	63370	63376	63852	64983	66051	66981	67967	67926	68031	68200	67872	67558	67220	67082	67088	68560	69669	68840	67092	66405	66216	66066
2015	1	19	65385	64490	63906	63750	64131	65204	66053	67051	67974	67866	67868	68373	68250	68015	67718	67449	67292	68592	69369	68795	67081	66424	66187	66055
2015	1	20	65215	64319	63449	63408	63720	64925	66073	66832	67968	68015	68081	68229	67311	66906	66735	66656	66629	67699	68246	67519	66598	66194	66065	65977
2015	1	21	64916	63755	62892	62393	62227	61818	61566	63548	65485	66008	66058	66090	66085	66012	65962	65888	65961	66076	66187	66089	66008	65535	65580	64608
2015	1	22	62823	61450	60711	60332	60155	59441	58193	58951	60427	62051	63611	64964	64962	63988	63119	62898	63333	65491	66037	66056	65766	65333	65500	64487
2015	1	23	62625	61446	60988	60864	61481	63164	65897	66247	66596	66738	67088	67643	67514	67287	66872	66718	66603	67415	68311	67850	66708	66265	66196	66030
2015	1	24	65246	64237	63693	63569	63949	65220	66074	67065	68012	68192	68596	68852	68596	68532	68163	67829	67519	69562	70637	69825	67876	66758	66629	66210
2015	1	25	66052	66010	65813	65383	65351	65903	66225	68077	69129	69267	69716	70333	70155	70146	69854	69612	69713	73377	75172	73842	70470	68473	67701	66630
2015	1	26	66213	66047	65990	66020	65929	65994	66309	68315	69588	69917	70622	71699	71768	71234	70368	69710	68793	70441	71707	70219	67927	66690	66419	66065
2015	1	27	66019	65366	64669	64447	64513	65423	66044	66787	67700	68090	68283	68490	68244	67599	67046	66801	66712	68099	68716	67857	66611	66224	66198	66045
2015	1	28	65799	65210	64662	64415	64322	63614	62963	64374	65732	66060	66072	66171	66115	66068	66068	65964	65905	66042	66231	66080	66014	65488	65806	65059
2015	1	29	63751	62451	61527	60901	60420	59943	59024	59390	60707	62472	63905	65285	65211	64385	63375	63075	63241	65503	66070	65991	65942	65628	65942	65183
2015	1	30	65408	64719	64543	64314	64821	65497	66173	67654	69027	69708	70442	70872	70714	70570	70012	69477	68628	70420	72328	70794	68429	67101	66659	66214
2015	1	31	66071	66065	66066	65960	66028	66038	66407	68664	70578	71017	71826	72918	73203	73741	73485	73143	72539	74502	76044	74168	70421	67880	66866	66269
2015	2	1	66046	66022	65732	65926	66062	66001	66324	69059	71079	71542	72535	73489	73291	72891	71891	71403	70790	72662	75078	72802	68933	67049	66592	66057
2015	2	2	66013	65910	65817	65664	65631	66021	66223	67965	69027	69087	69311	69520	69082	68663	68118	67874	67503	69004	71442	70163	67867	66695	66401	66080
2015	2	3	65935	65642	65498	65516	65899	66060	66245	68189	69397	69271	69931	70181	69943	68844	67966	67449	67235	68838	70123	68663	66786	66271	66205	65989
2015	2	4	65497	64612	63681	63425	63214	62984	62281	63695	65443	66009	66072	66145	66078	66043	66031	66016	66024	66072	66257	66162	66030	65566	65733	64768
2015	2	5	62896	61669	61197	61257	61128	60608	59128	59558	60716	62394	64132	65499	65396	64356	63465	63212	63445	65329	66048	66006	65894	65508	65891	65049
2015	2	6	64701	64093	63697	63632	63695	64927	66069	67515	68983	69555	70258	70869	70541	70140	69208	68689	68010	69171	71553	70446	68157	66802	66612	66111
2015	2	7	65981	66016	66026	65884	65893	66051	66276	68197	69719	70156	69917	69850	70632	70483	69985	69611	68747	70073	72104	70732	68563	67316	66697	66224
2015	2	8	66049	66011	66011	65978	66019	66010	66336	68291	69546	69974	70734	71513	71413	70936	70366	70168	69220	70446	72890	71816	69074	67655	66984	66301
2015	2	9	66118	66063	66050	66014	66001	66082	66562	68622	69996	70656	71850	72627	72437	72110	71197	70374	69005	70033	72567	71577	68849	67328	66908	66566
2015	2	10	66196	66075	66045	66044	66041	66009	66269	67853	69044	69860	70385	71193	71156	70081	68851	68251	67830	68687	71395	70162	67648	66640	66549	66173
2015	2	11	66066	65987	65492	65219	64919	64360	63538	64064	65484	65982	66090	66185	66212	66077	65988	66061	66007	66055	66428	66228	66050	66010	66062	65802
2015	2	12	64815	63798	63332	63110	62617	61829	60374	60342	61504	63429	64994	65893	65744	64884	63949	63604	63520	64968	66064	66068	66012	65922	65991	65857
2015	2	13	65331	64985	64700	64394	64396	64966	66011	66265	66770	67522	68031	68589	68341	67871	67283	67013	66710	67091	69229	68749	67242	66631	66464	66081
2015	2	14	66057	65963	65906	65665	65839	65969	66170	66955	67822	68314	68689	69092	68487	67643	66928	66748	66636	67212	70195	70034	68004	66881	66652	66203
2015	2	15	66051	66063	66057	66022	66028	66006	66259	67835	68630	68934	69008	69505	69247	68793	68492	68249	67873	68765	71980	70987	68380	67051	66609	66172
2015	2	16	65999	65916	65668	65524	65797	66025	66221	67620	68624	69124	70031	70461	70201	69468	68660	68015	67345	68116	70995	70496	68111	66862	66549	66090
2015	2	17	66011	65940	65739	65643	65807	65932	66200	67458	68854	69251	69718	70004	69369	68492	67820	67375	67053	67883	70010	69178	66929	66403	66256	66072
2015	2	18	65808	65443	64912	64656	64899	64492	63750	64675	65810	65990	66053	66041	66086	66062	66060	66030	65966	66048	66441	66314	66039	66071	66038	65491
2015	2	19	64375	62897	62220	61932	61566	61376	60375	60731	61418	62421	63796	65027	64861	63637	62578	62237	62496	64418	66066	66060	66009	65881	65973	65183
2015	2	20	64224	63593	63550	63550	64083	64856	66087	67094	68260	68566	68815	69476	69167	68631	67975	67545	67067	67921	71515	70926	68293	66895	66564	66090
2015	2	21	66056	65902	65693	65634	65842	66007	66271	67866	68950	69028	69355	69998	69664	69373	68662	68317	67606	68088	70656	70266	67835	66640	66269	66064
2015	2	22	65751	65208	64966	64864	65099	65805	66215	67474	68490	68242	68338	68624	68255	67863	67227	67056	66761	67352	70154	70075	67883	66665	66260	65984
2015	2	23	65333	64873	64861	65039	65445	65875	66186	67290	68137	67857	68000	67872	67676	67567	67086	67015	66795	67566	70080	69680	67675	66651	66275	65997
2015	2	24	65486	64517	64312	64373	64725	65352	66037	66671	67579	67802	67819	67923	67546	67013	66713	66636	66636	66764	68395	68101	66770	66308	66204	65990
2015	2	25	65689	64999	65128	65208	65188	64570	64172	64704	65652	66006	66038	65997	66027	65806	64977	64910	64965	65652	66093	66114	66014	65344	65102	63608
2015	2	26	61544	60220	59545	59843	60374	60393	59890	59906	61041	62702	64316	65350	65158	64393	63810	63872	64510	65487	66074	66206	66072	65991	66055	65925
2015	2	27	64181	63548	63121	63340	63925	65161	66073	66692	67020	66951	66957	67129	66961	66843	66690	66647	66631	66789	68631	69307	67325	66614	66275	66039
2015	2	28	65892	65676	65531	65509	65482	65891	66262	67360	68352	68190	67981	68241	68192	67946	67471	67181	66803	66910	68765	69282	67284	66574	66218	66011
2015	3	1	65845	65439	65370	65368	65623	65897	66206	66759	67232	67003	66928	66880	66656	66615	66522	66519	66507	66785	69125	69556	67516	66597	66244	66052
2015	3	2	65901	65626	65499	65496	65632	66016	66224	66961	67469	67293	67216	67293	66898	66761	66638	66639	66598	66653	68090	68744	67064	66525	66233	66064
2015	3	3	65805	65496	64984	64900	65147	65580	66081	66596	66751	66643	66650	66801	66649	66567	66328	66274	66272	66652	68173	68492	66649	66195	66072	65926
2015	3	4	64969	63803	63150	63593	63681	63357	62087	62588	64511	65674	65978	66034	65903	65264	64650	64508	64613	65288	66045	66073	66022	65460	65567	64899
2015	3	5	63600	62618	62062	61628	61500	61049	59913	59898	60897	61801	62560	63364	62862	61404	60720	60601	60930	62660	65554	66014	65862	65503	65873	65193
2015	3	6	64412	64158	64161	63927	64449	65487	66100	66603	67048	67005	67052	67318	67096	66953	66700	66653	66620	66748	68001	69222	67386	66590	66241	66057
2015	3	7	66064	65932	65687	65646	65891	66033	66222	66898	67209	66954	66944	67042	66933	66849	66691	66663	66676	66983	68671	70265	68138	66858	66619	66230
