Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2014	1	1	53485	52937	51052	48956	47381	46094	44056	43383	43660	45803	48258	51287	53185	52994	52413	52621	55423	59392	60546	59288	57226	55944	57072	54578
2014	1	2	51493	49039	47747	47034	47055	46633	45949	48859	52837	56765	58966	60824	61532	60570	59819	60004	61926	67403	67850	66404	62653	60936	61626	59029
2014	1	3	55652	53260	51406	49602	49014	47959	46309	47261	48952	51718	54520	57569	58512	57016	55955	55792	58748	63736	65024	63666	61189	60160	61414	58633
2014	1	4	55582	52917	51519	50873	51304	52481	56747	63061	66948	69376	71031	72410	72924	72145	71432	70957	72238	76753	76478	75250	71765	69713	68703	65411
2014	1	5	62757	60244	58546	57605	57936	59628	64509	71817	75324	76281	77021	78033	78289	77870	76829	76176	76964	80402	81218	79910	76286	72936	71635	67003
2014	1	6	63578	61011	59252	58231	58355	59502	63662	70023	72939	73985	75223	76464	76530	75510	74329	73847	74641	78331	79655	78231	74544	72088	71324	67247
2014	1	7	63656	60862	59216	58290	58921	61525	67899	75931	78490	78651	79232	79914	79848	79111	78089	77798	78016	81871	82807	81678	78114	75051	73184	68837
2014	1	8	65163	62587	60741	59475	59931	62152	67762	75443	78083	78638	79364	80101	80150	78642	77414	76614	77318	81374	81919	79864	75618	72987	72311	68949
2014	1	9	66360	64005	62354	61047	60526	60017	59351	61908	65477	69133	71608	73236	73713	72499	70506	69929	70919	74460	75711	73803	69866	67937	68225	66016
2014	1	10	62773	60052	58392	56645	55504	53864	51171	52010	55015	58575	60930	64053	64224	61949	60356	59915	61169	66669	69617	69228	66590	64950	66064	63363
2014	1	11	60676	58297	57228	56642	57245	59894	67222	74703	77824	78802	79829	81126	81283	80686	79493	78764	78714	81804	83033	82110	78724	75671	74143	69534
2014	1	12	65790	63318	61863	61176	61585	63903	71635	79603	82088	82096	82465	82690	82968	82366	81342	80853	81159	84819	86110	84966	81159	78098	75827	71347
2014	1	13	67952	65718	63998	62973	63656	65979	73209	81218	83829	83726	84382	84878	84458	84248	83331	82879	82841	86113	87125	85650	81162	77601	75639	71291
2014	1	14	66158	63653	61812	61155	61351	63797	70561	78159	80612	80767	81414	82231	82186	81563	80340	79505	79174	82534	83617	82164	78096	74450	72539	68029
2014	1	15	64376	61941	60578	59975	60566	62991	69441	77282	80050	80401	81409	82190	81648	80477	78669	77774	77548	80481	81293	79451	75195	71870	70812	67048
2014	1	16	63504	60798	59067	57952	57448	56464	55884	59421	63412	67018	69093	70582	70202	68364	66984	66852	67656	71881	74002	72338	68092	66389	66663	63995
2014	1	17	61152	58264	55973	55033	54203	52252	49836	50280	53270	57319	60252	63308	63256	61070	59302	58527	58957	63852	67159	66685	64193	62833	63558	60079
2014	1	18	56937	54634	53485	53399	54641	57849	64749	72808	76228	77196	77805	79230	78898	78523	77311	76567	76192	79406	80859	79557	75661	72512	70352	64844
2014	1	19	60689	58565	57747	57763	58998	61678	68902	76892	79862	79851	80444	81009	80497	79784	78567	78129	77885	80907	82270	81211	76929	73593	71128	65874
2014	1	20	61951	59886	58482	58501	59460	61977	69133	77376	79950	79875	80136	80518	79702	79005	78080	77767	77766	81228	83159	81769	77813	73774	71522	66734
2014	1	21	62977	60714	59586	59284	59940	62460	69261	77579	79980	79681	79718	80879	80595	80113	79353	78747	78331	81297	82689	81698	77736	74070	71676	66675
