Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2015	1	1	18656	18312	18179	17927	17951	17987	18147	18334	18520	18964	19361	19602	19748	19670	19528	19714	19895	19912	19899	19747	19491	19190	18850	18293
2015	1	2	17788	17385	17217	17286	17343	17696	18910	20534	21095	20965	20933	20886	20823	20755	20827	20837	21065	20887	20934	20789	20443	20082	19559	18880
2015	1	3	18295	17964	17945	17954	18150	18527	19708	21277	22029	21859	21750	21748	21551	21639	21732	21771	22043	22014	21940	21827	21354	20973	20455	19748
2015	1	4	19276	19200	18933	19088	19080	19470	20655	22316	22899	22910	22763	22689	22611	22413	22469	22633	22813	22698	22371	22167	21799	21291	21024	20463
2015	1	5	19666	19373	19279	19339	19438	19778	20610	22152	22767	22479	22182	22298	22177	22182	22036	21963	22472	22360	22177	21992	21707	21260	20789	20220
2015	1	6	19751	19461	19320	19370	19463	19759	20688	22081	22733	22669	22611	22504	22424	22233	22041	22118	22361	22473	22420	22151	21651	21372	20946	20296
2015	1	7	20102	19832	19565	19532	19509	19581	19815	20232	20807	21360	22172	21838	21593	21642	21557	21274	21481	21936	21671	21501	21013	20619	20214	19794
2015	1	8	19520	19094	18973	18965	18922	18893	19038	19363	19708	20132	20517	20707	20574	20382	20385	20530	20854	20951	20856	20829	20711	20416	19981	19630
2015	1	9	19125	18966	18833	18820	18901	19212	20325	21988	22589	22256	22040	21866	21673	21604	21573	21529	21710	21807	21644	21295	21146	20652	20019	19322
2015	1	10	18703	18226	18060	18057	18251	18664	19757	21425	21932	21642	21359	21171	20990	20676	20588	20884	21167	21179	20955	20779	20537	20123	19597	19009
2015	1	11	18277	17969	17906	17977	18088	18467	19557	21059	21599	21430	21208	21052	20881	20757	20755	20775	21136	21254	21089	20757	20456	20129	19566	18766
2015	1	12	18171	17995	17815	17855	18028	18309	19420	21021	21561	21183	21090	21185	21020	21045	21032	20936	21199	21185	20992	20685	20400	19945	19461	18748
2015	1	13	18192	17915	17691	17841	17892	18303	19424	20875	21481	21222	21183	21043	20847	20707	20639	20588	20746	20862	20639	20397	19920	19450	18975	18593
2015	1	14	17952	17674	17457	17344	17299	17375	17600	17865	18488	19091	19440	19497	19412	19240	19118	19078	19385	19501	19423	19207	18820	18419	18030	17824
2015	1	15	17333	17300	16951	16718	16725	16831	17279	17574	17927	18309	18616	18845	18918	18849	18943	19045	19210	19247	19122	19007	18768	18467	18155	17706
2015	1	16	16943	16767	16668	16727	16893	17203	18473	19970	20611	20405	20241	20290	19911	19837	19902	19913	20151	20226	20060	19813	19500	19083	18515	17941
2015	1	17	17125	16880	16664	16685	16895	17341	18326	19865	20351	20123	19931	19862	19816	19790	19894	19796	20010	20140	19961	19755	19321	19007	18544	17901
2015	1	18	17222	16865	16723	16737	16863	17306	18436	20175	20537	20325	20276	20188	20046	19976	19857	19848	20105	20218	20163	19914	19622	19088	18586	17914
2015	1	19	17324	16912	16911	16899	17041	17408	18529	20125	20654	20274	20138	20062	19905	19784	19969	19895	20149	20170	20019	19783	19413	19149	18567	17971
2015	1	20	17302	17001	16937	16977	17151	17433	18482	20109	20730	20574	20441	20267	20027	19703	19573	19509	19774	20043	19965	19629	19173	18705	18239	17813
2015	1	21	17237	16861	16685	16657	16644	16763	17098	17478	18095	18649	19191	19216	19114	18879	18836	18844	19241	19565	19564	19248	18852	18373	17895	17510
2015	1	22	17282	16957	16764	16658	16633	16725	16867	17148	17553	18012	18245	18449	18531	18599	18603	18641	18987	19215	19227	19097	18917	18656	18241	17740
2015	1	23	17205	16862	16793	16810	16941	17309	18537	20187	20741	20539	20424	20234	20085	20053	20009	20065	20234	20425	20243	20169	19945	19558	19019	18435
2015	1	24	17658	17355	17196	17264	17471	17948	18960	20898	21031	20760	20480	20410	20261	20158	20188	20284	20366	20596	20391	20104	19884	19264	18698	17886
2015	1	25	17165	16759	16623	16610	16768	17176	18225	19697	20139	19857	19776	19676	19533	19332	19270	19247	19301	19648	19565	19222	18987	18526	17962	17309
2015	1	26	16919	16399	16218	16367	16508	16952	18162	19693	20103	19969	19765	19612	19239	19110	19065	19182	19462	19637	19665	19426	19190	18816	18290	17723
2015	1	27	17174	16916	16793	16880	17034	17459	18577	20165	20643	20610	20461	20377	20225	20138	20065	19949	20101	20232	20236	19910	19430	18989	18504	18047
