Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2014	1	1	17986	17898	17671	17500	17362	17470	17929	18196	18487	18648	19058	19562	19807	19862	19988	20252	20862	20731	20626	20402	19958	19785	19044	18533
2014	1	2	18172	17776	17681	17605	17708	17834	18063	18457	19246	19788	20412	20596	20587	20329	20193	20358	20798	21328	21357	21009	20363	20020	19990	19910
2014	1	3	19132	18725	18568	18268	18296	18342	18528	18753	18970	19489	19955	20248	20422	20329	20159	20384	20603	20625	20609	20420	20116	19754	19355	18704
2014	1	4	18103	17635	17442	17521	17586	17999	19425	21368	22015	21864	21827	21773	21700	21622	21705	21718	21981	21775	21828	21661	21260	20827	20196	19391
2014	1	5	18706	18313	18288	18301	18533	18979	20377	22226	23058	22875	22755	22753	22531	22630	22735	22779	23074	23042	22963	22841	22314	21873	21275	20422
2014	1	6	19857	19766	19452	19634	19625	20091	21507	23365	23983	23994	23839	23761	23678	23468	23527	23702	23892	23771	23423	23205	22809	22242	21932	21286
2014	1	7	20324	19970	19861	19929	20050	20459	21455	23189	23844	23539	23223	23346	23217	23222	23066	22987	23531	23411	23217	23018	22708	22206	21661	20993
2014	1	8	20427	20079	19906	19966	20082	20437	21544	23114	23807	23740	23678	23565	23480	23277	23071	23153	23413	23532	23475	23188	22646	22335	21842	21085
2014	1	9	20851	20528	20203	20165	20146	20222	20505	21009	21682	22321	23211	22853	22578	22634	22538	22222	22453	22958	22667	22476	21918	21465	20986	20479
2014	1	10	20149	19642	19501	19491	19440	19405	19576	19958	20376	20888	21349	21565	21414	21189	21192	21363	21736	21847	21739	21708	21570	21228	20708	20281
2014	1	11	19678	19493	19333	19319	19414	19781	21120	23014	23654	23301	23070	22883	22670	22591	22556	22507	22711	22819	22637	22247	22073	21503	20752	19909
2014	1	12	19187	18624	18426	18422	18654	19141	20434	22391	22954	22634	22319	22100	21892	21530	21430	21771	22096	22109	21852	21649	21371	20878	20241	19544
2014	1	13	18686	18319	18241	18329	18459	18906	20193	21974	22585	22396	22144	21965	21767	21624	21621	21645	22062	22196	22007	21624	21276	20885	20205	19257
2014	1	14	18558	18351	18134	18181	18388	18722	20026	21928	22543	22114	22009	22117	21927	21957	21941	21831	22134	22118	21895	21541	21210	20664	20079	19236
