Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2015	1	1	18352	18161	18078	18081	18143	18292	18516	18809	19001	19250	19552	19660	19605	19542	19548	19950	20437	20499	20369	20140	19733	19329	18751	18252
2015	1	2	18031	17855	17807	17812	17916	18343	19205	20173	20547	20585	20681	20653	20660	20613	20558	20757	21036	21068	20852	20635	20399	19971	19443	18823
2015	1	3	18484	18353	18345	18438	18642	19035	20028	20863	21316	21374	21682	21705	21632	21548	21534	21921	22330	22251	21904	21411	21040	20647	20334	19786
2015	1	4	19430	19181	19067	19038	19111	19254	19649	20105	20323	20550	20812	20986	21001	20928	20950	21256	21801	21768	21510	21220	20895	20499	20008	19517
2015	1	5	19141	18991	18957	18977	19132	19570	20460	21403	21851	21780	21945	21916	21819	21731	21655	21929	22357	22347	22009	21706	21294	20807	20375	19766
2015	1	6	19409	19193	19179	19305	19431	19819	20734	21570	22040	22053	22163	22016	21780	21549	21529	21775	22365	22572	22253	21705	21189	20812	20463	20052
2015	1	7	19659	19473	19393	19389	19429	19549	19816	20229	20497	20828	21020	20959	20724	20529	20464	20728	21316	21421	21285	20962	20569	20174	19759	19428
2015	1	8	19059	18839	18719	18657	18604	18669	18882	19109	19410	19647	19914	20060	20064	19922	19916	20273	20752	20905	20837	20618	20321	19843	19360	18824
2015	1	9	18303	18197	18214	18223	18397	18881	20072	21179	21472	21317	21343	21247	21120	21021	21016	21227	21612	21840	21572	21227	20847	20403	19777	19114
2015	1	10	18734	18490	18448	18481	18658	19079	20315	21444	21546	21368	21415	21318	21174	21090	21068	21316	21624	21753	21486	21090	20652	20283	19613	18936
2015	1	11	18528	18380	18344	18402	18560	19000	20289	21478	21767	21511	21473	21376	21290	21095	21033	21369	21786	21968	21616	21184	20749	20314	19588	18938
2015	1	12	18516	18324	18231	18274	18390	18848	19981	21116	21317	21179	21178	21048	20883	20763	20695	20869	21141	21263	20994	20751	20344	19789	19134	18457
2015	1	13	18038	17874	17807	17830	17968	18443	19588	20743	20979	20911	20905	20827	20690	20510	20376	20367	20559	20654	20428	19981	19424	18877	18434	17982
2015	1	14	17644	17408	17268	17235	17260	17373	17676	17981	18328	18669	18938	19041	18992	18898	18889	19058	19517	19647	19482	19134	18767	18411	18054	17725
2015	1	15	17358	17170	17014	16979	16992	17066	17277	17607	17882	18199	18517	18773	18855	18855	18919	19139	19552	19659	19591	19431	19085	18562	18089	17597
2015	1	16	17233	17096	17025	17111	17259	17757	18931	20205	20418	20350	20415	20391	20345	20304	20245	20400	20599	20725	20524	20279	19719	19205	18641	17916
2015	1	17	17465	17255	17158	17170	17327	17843	18977	20269	20400	20313	20361	20364	20317	20254	20246	20321	20563	20692	20498	20174	19659	19116	18491	17831
2015	1	18	17401	17233	17187	17176	17348	17904	19067	20346	20559	20477	20498	20518	20388	20323	20340	20460	20653	20838	20589	20341	19832	19302	18613	17995
2015	1	19	17583	17321	17248	17269	17433	17896	19142	20438	20585	20478	20519	20499	20351	20319	20265	20376	20629	20810	20635	20378	19899	19419	18725	18039
