Pattern	G solar	G solar new
M01,D01,H01	0,01	0,01
M01,D01,H02	0,01	0,01
M01,D01,H03	0,01	0,01
M01,D01,H04	0,01	0,01
M01,D01,H05	0,01	0,01
M01,D01,H06	0,01	0,01
M01,D01,H07	0,01	0,01
M01,D01,H08	0,53	0,53
M01,D01,H09	19,10	19,10
M01,D01,H10	28,70	28,70
M01,D01,H11	34,90	34,90
M01,D01,H12	36,50	36,50
M01,D01,H13	33,00	33,00
M01,D01,H14	25,20	25,20
M01,D01,H15	14,80	14,80
M01,D01,H16	0,01	0,01
M01,D01,H17	0,01	0,01
M01,D01,H18	0,01	0,01
M01,D01,H19	0,01	0,01
M01,D01,H20	0,01	0,01
M01,D01,H21	0,01	0,01
M01,D01,H22	0,01	0,01
M01,D01,H23	0,01	0,01
M01,D01,H24	0,01	0,01
M01,D02,H01	0,01	0,01
M01,D02,H02	0,01	0,01
M01,D02,H03	0,01	0,01
M01,D02,H04	0,01	0,01
M01,D02,H05	0,01	0,01
M01,D02,H06	0,01	0,01
M01,D02,H07	0,01	0,01
M01,D02,H08	0,42	0,42
M01,D02,H09	3,23	3,23
M01,D02,H10	6,59	6,59
M01,D02,H11	8,87	8,87
M01,D02,H12	9,43	9,43
M01,D02,H13	8,14	8,14
M01,D02,H14	5,33	5,33
M01,D02,H15	1,80	1,80
M01,D02,H16	0,01	0,01
M01,D02,H17	0,01	0,01
M01,D02,H18	0,01	0,01
M01,D02,H19	0,01	0,01
M01,D02,H20	0,01	0,01
M01,D02,H21	0,01	0,01
M01,D02,H22	0,01	0,01
M01,D02,H23	0,01	0,01
M01,D02,H24	0,01	0,01
M01,D03,H01	0,01	0,01
M01,D03,H02	0,01	0,01
M01,D03,H03	0,01	0,01
M01,D03,H04	0,01	0,01
M01,D03,H05	0,01	0,01
M01,D03,H06	0,01	0,01
M01,D03,H07	0,01	0,01
M01,D03,H08	0,44	0,44
M01,D03,H09	3,23	3,23
M01,D03,H10	6,57	6,57
M01,D03,H11	8,83	8,83
M01,D03,H12	9,39	9,39
M01,D03,H13	8,11	8,11
M01,D03,H14	5,32	5,32
M01,D03,H15	1,81	1,81
M01,D03,H16	0,01	0,01
M01,D03,H17	0,01	0,01
M01,D03,H18	0,01	0,01
M01,D03,H19	0,01	0,01
M01,D03,H20	0,01	0,01
M01,D03,H21	0,01	0,01
M01,D03,H22	0,01	0,01
M01,D03,H23	0,01	0,01
M01,D03,H24	0,01	0,01
M01,D04,H01	0,01	0,01
M01,D04,H02	0,01	0,01
M01,D04,H03	0,01	0,01
M01,D04,H04	0,01	0,01
M01,D04,H05	0,01	0,01
M01,D04,H06	0,01	0,01
M01,D04,H07	0,01	0,01
M01,D04,H08	0,51	0,51
M01,D04,H09	5,35	5,35
M01,D04,H10	9,69	9,69
M01,D04,H11	12,60	12,60
M01,D04,H12	13,30	13,30
M01,D04,H13	11,70	11,70
M01,D04,H14	8,07	8,07
M01,D04,H15	3,47	3,47
M01,D04,H16	0,01	0,01
M01,D04,H17	0,01	0,01
M01,D04,H18	0,01	0,01
M01,D04,H19	0,01	0,01
M01,D04,H20	0,01	0,01
M01,D04,H21	0,01	0,01
M01,D04,H22	0,01	0,01
M01,D04,H23	0,01	0,01
M01,D04,H24	0,01	0,01
M01,D05,H01	0,01	0,01
M01,D05,H02	0,01	0,01
M01,D05,H03	0,01	0,01
M01,D05,H04	0,01	0,01
M01,D05,H05	0,01	0,01
M01,D05,H06	0,01	0,01
M01,D05,H07	0,01	0,01
M01,D05,H08	0,61	0,61
M01,D05,H09	12,80	12,80
M01,D05,H10	20,00	20,00
M01,D05,H11	24,80	24,80
M01,D05,H12	25,90	25,90
M01,D05,H13	23,30	23,30
M01,D05,H14	17,30	17,30
M01,D05,H15	9,58	9,58
M01,D05,H16	0,01	0,01
M01,D05,H17	0,01	0,01
M01,D05,H18	0,01	0,01
M01,D05,H19	0,01	0,01
M01,D05,H20	0,01	0,01
M01,D05,H21	0,01	0,01
M01,D05,H22	0,01	0,01
M01,D05,H23	0,01	0,01
M01,D05,H24	0,01	0,01
M01,D06,H01	0,01	0,01
M01,D06,H02	0,01	0,01
M01,D06,H03	0,01	0,01
M01,D06,H04	0,01	0,01
M01,D06,H05	0,01	0,01
M01,D06,H06	0,01	0,01
M01,D06,H07	0,01	0,01
M01,D06,H08	0,56	0,56
M01,D06,H09	4,94	4,94
M01,D06,H10	9,09	9,09
M01,D06,H11	11,90	11,90
M01,D06,H12	12,60	12,60
M01,D06,H13	11,00	11,00
M01,D06,H14	7,53	7,53
M01,D06,H15	3,15	3,15
M01,D06,H16	0,01	0,01
M01,D06,H17	0,01	0,01
M01,D06,H18	0,01	0,01
M01,D06,H19	0,01	0,01
M01,D06,H20	0,01	0,01
M01,D06,H21	0,01	0,01
M01,D06,H22	0,01	0,01
M01,D06,H23	0,01	0,01
M01,D06,H24	0,01	0,01
M01,D07,H01	0,01	0,01
M01,D07,H02	0,01	0,01
M01,D07,H03	0,01	0,01
M01,D07,H04	0,01	0,01
M01,D07,H05	0,01	0,01
M01,D07,H06	0,01	0,01
M01,D07,H07	0,01	0,01
M01,D07,H08	0,61	0,61
M01,D07,H09	7,09	7,09
M01,D07,H10	12,10	12,10
M01,D07,H11	15,40	15,40
M01,D07,H12	16,20	16,20
M01,D07,H13	14,40	14,40
M01,D07,H14	10,20	10,20
M01,D07,H15	4,91	4,91
M01,D07,H16	0,01	0,01
M01,D07,H17	0,01	0,01
M01,D07,H18	0,01	0,01
M01,D07,H19	0,01	0,01
M01,D07,H20	0,01	0,01
M01,D07,H21	0,01	0,01
M01,D07,H22	0,01	0,01
M01,D07,H23	0,01	0,01
M01,D07,H24	0,01	0,01
M01,D08,H01	0,01	0,01
M01,D08,H02	0,01	0,01
M01,D08,H03	0,01	0,01
M01,D08,H04	0,01	0,01
M01,D08,H05	0,01	0,01
M01,D08,H06	0,01	0,01
M01,D08,H07	0,01	0,01
M01,D08,H08	0,71	0,71
M01,D08,H09	17,90	17,90
M01,D08,H10	26,90	26,90
M01,D08,H11	32,70	32,70
M01,D08,H12	34,10	34,10
M01,D08,H13	30,80	30,80
M01,D08,H14	23,50	23,50
