Pattern	S wind	N wind	G wind	S wind new	N wind new	G wind new
M01,D01,H01	5,74	2,80	16,20	5,74	2,80	16,20
M01,D01,H02	7,19	3,19	17,00	7,19	3,19	17,00
M01,D01,H03	8,64	3,58	17,80	8,64	3,58	17,80
M01,D01,H04	10,10	3,96	18,70	10,10	3,96	18,70
M01,D01,H05	11,50	4,35	19,50	11,50	4,35	19,50
M01,D01,H06	13,00	4,74	20,40	13,00	4,74	20,40
M01,D01,H07	14,40	5,13	21,20	14,40	5,13	21,20
M01,D01,H08	15,60	4,72	23,90	15,60	4,72	23,90
M01,D01,H09	16,70	4,32	26,50	16,70	4,32	26,50
M01,D01,H10	17,80	3,91	29,10	17,80	3,91	29,10
M01,D01,H11	19,00	3,50	31,80	19,00	3,50	31,80
M01,D01,H12	20,10	3,09	34,40	20,10	3,09	34,40
M01,D01,H13	21,20	2,69	37,00	21,20	2,69	37,00
M01,D01,H14	22,40	5,97	37,90	22,40	5,97	37,90
M01,D01,H15	23,50	9,24	38,80	23,50	9,24	38,80
M01,D01,H16	24,60	12,50	39,70	24,60	12,50	39,70
M01,D01,H17	25,70	15,80	40,60	25,70	15,80	40,60
M01,D01,H18	26,80	19,10	41,50	26,80	19,10	41,50
M01,D01,H19	28,00	22,40	42,40	28,00	22,40	42,40
M01,D01,H20	30,60	24,10	41,20	30,60	24,10	41,20
M01,D01,H21	33,30	25,80	40,10	33,30	25,80	40,10
M01,D01,H22	35,90	27,50	39,00	35,90	27,50	39,00
M01,D01,H23	38,60	29,20	37,80	38,60	29,20	37,80
M01,D01,H24	41,20	30,80	36,70	41,20	30,80	36,70
M01,D02,H01	43,90	32,50	35,60	43,90	32,50	35,60
M01,D02,H02	43,50	31,60	34,60	43,50	31,60	34,60
M01,D02,H03	43,00	30,60	33,50	43,00	30,60	33,50
M01,D02,H04	42,60	29,70	32,50	42,60	29,70	32,50
M01,D02,H05	42,20	28,70	31,50	42,20	28,70	31,50
M01,D02,H06	41,80	27,70	30,50	41,80	27,70	30,50
M01,D02,H07	41,40	26,80	29,50	41,40	26,80	29,50
M01,D02,H08	42,80	23,40	34,20	42,80	23,40	34,20
